uid,nickname,time,star,comment
-90846555654181082,****I,2020-12-26 13:47:00,5,除了有点小瑕疵其他的地方都很棒！(????)???
367576916137255381,****L,2020-12-25 19:57:09,5,外观很好，就是脚架有点难装
163413554592037147,词***h,2020-12-24 21:45:24,5,做的很好，物流也很快，真的很喜欢
550545321023934095,p***6,2020-12-22 21:56:55,5,底座好紧，不敢用力弄进去。快递把小蝴蝶结给弄掉了，不过送了502 总体来说还行吧。
613401043559547390,B***g,2020-12-20 19:34:43,5,不错，还可以。孩子很喜欢！
-39318696048307549,F***r,2020-12-19 11:27:08,5,很好
486489717865188442,****9,2020-12-11 12:46:09,5,没打开，是给别人的，不过看起来应该不错。还有贺卡呢。
-82559827735720844,紫***恋,2020-12-06 13:00:52,5,很好看呢，很适合学生买哦
-37338674369447026,夜***笛,2020-12-02 12:48:20,5,风格款式：可以可以，很喜欢，做工很好
-37338674369447026,夜***笛,2020-12-02 12:47:44,5,角色做工可以，欠缺的是地盘的卡槽做错了
-82309030605396790,****s,2020-12-01 21:56:49,5,真的好看，我爱雷姆，
142819976378823040,****0,2020-11-29 00:26:59,5,不错不错 买来送朋友的 性价比很高 诚推
-39879179012416945,c***m,2020-11-28 16:23:13,5,机箱手办就还可以  但是裙子有点色差 还不错适用场景：景品
105660164940652572,****d,2020-11-28 12:24:41,5,可以
-22573161394479918,****7,2020-11-22 20:33:51,5,适用人群：00后很不错的，尤其是喜欢拉姆雷姆的
494592769663878220,古***心,2020-11-22 18:25:14,5,还行吧，
735357123248498319,s***z,2020-11-22 17:16:09,5,针不戳，茶杯很精致，就是肩膀那颜色没上好
141239049840241022,w***l,2020-11-21 14:27:18,4,总体还勉勉强强，脸没崩，脸的颜色能再白点那就更好了，还有脚上那个插孔间距不对呀。两个根本和不在一起，只能让一只脚固定一个，不能两只脚同时固定，顺便说一下那个雷姆优质版的，那是我托朋友买，还没评价，这个蕾姆，头发如果颜色能深点那就更好了。就是脚与板之间的固定就是固定不起来，只能半悬还得拿工具把角那个缺口扩大估计才能固定的住，太麻烦了，还有雷姆盘中的那个茶具居然不能移动，也就这些缺点啦。
-58923025917587399,雨***子,2020-11-21 13:16:14,5,闺女很喜欢，放在书桌上，给她带来了不少快乐。
-72894619573731076,简***3,2020-11-21 12:03:22,5,孩子送同学的，看着还是很不错的
486489717865188442,****9,2020-11-20 06:02:25,5,说它不好的我都想去拼命！非常满意,真的很喜欢，完全超出期望值。终于找到家好店，服务好，质量不错，下次有机会再来买。到货很迅速，质量很好，好店铺，推荐了~
-17630425720988730,铭***丶,2020-11-17 00:47:02,5,蕾姆是最可爱哒 蕾姆笑的最灿烂 蕾姆萌的最动人
449381862692065426,****z,2020-11-15 20:46:13,5,手办不错。一些小瑕疵可以原谅。海报也是一级棒。整体效果很不错。爱了爱了。
105660164940652572,****d,2020-11-15 11:18:32,5,尺寸比我想象的大的多 良心
-54984331748433052,隔***柱,2020-11-14 11:00:58,5,针不戳
723688777740727835,凌***番,2020-11-14 02:08:00,5,老婆真好看
-28999526514440681,****k,2020-11-12 21:19:50,4,外观漂亮，外表还算坚固，应该耐用
-41701563978808507,L***友,2020-11-12 21:08:55,5,模型很好，很喜欢！
746775347050702276,2***6,2020-11-11 16:25:53,5,桌面展示
638600550777911995,****X,2020-11-10 23:04:40,5,手办挺不错的，与商家的图片没有太大差别，就是棉花糖上有点瑕疵，不过手办本体还不错，对于这个价位的手办来说算是比较不错的。配送服务：较快。
-88876203873951232,师***松,2020-11-10 21:27:00,5,手办可以，就是盒子被压了下，里面的海报有些皱皱巴巴的
-65968002523952016,神***梦,2020-11-10 13:02:16,5,第一次买手办，很棒，很可爱，大爱雷姆
806120317560590806,****v,2020-11-09 11:50:12,5,除包装外其他都不错，包装也许只是中奖，手办还是很赞的
266772027127357739,幻***睨,2020-11-08 22:27:07,5,个别地方上色有点不太好，但是非常棒
689255862834218543,爱***年,2020-11-08 09:16:26,5,同学很喜欢，很满意的一次购物
367576916137255381,****L,2020-11-06 17:23:32,5,我老婆真好看
756077381121527929,****p,2020-11-06 15:15:11,5,这个价还行吧，挺不错的，物流也很快
904395746212557140,w***a,2020-10-30 17:55:01,5,针不戳针不戳，挺好的hhh
443222536473554713,r***0,2020-10-28 20:49:31,5,绝美真
190591651306494052,****e,2020-10-25 23:56:28,5,货收到了，性价比特别高，配送速度也十分快，不说了，陪蕾姆老婆去了
660523860082699544,b***尔,2020-10-23 16:39:31,5,很精致，对得起价格，蕾姆赛高！
-67019553820015481,乔***v,2020-10-21 20:56:16,5,超好看！
-62146252263248960,林***1,2020-10-18 16:18:22,5,适用人群：粉丝风格款式：非常好看
230355134388546056,****1,2020-10-08 12:10:43,5,物流很快，包装好，很喜欢
435958500905586197,****B,2020-10-08 10:54:16,5,真的，我这回算是捡到宝了，面雕不凑近看是看不出来什么缺陷，就是买回来身上开始发紫有点疑惑
638600550777911995,****X,2020-10-06 12:34:44,5,还行吧，就是如果茶杯能固定住就好了
798808368116668400,j***r,2020-10-06 11:45:06,5,挺好的，就是有点黑了，其他都没问题。
846133189843379373,****o,2020-10-06 02:05:08,5,商品很不错。
-83565124233098604,神***泷,2020-10-04 17:33:19,5,非常值得购买的商品，价格不高但商品质量很棒！赞!
105660164940652572,****d,2020-10-03 10:58:57,4,东西还可以，服务也还行，就是希望以后可以选一个靠谱的快递。东西送了七天才到，快递盒送到的时候像被熊孩子搞了一下。送的海报以及包装自己体会
142819976378823040,****0,2020-09-30 16:49:40,5,一般般，头发做工一般
-90277239678998239,古***听,2020-09-26 15:59:56,5,做的非常好看，非常喜欢，希望能继续。把这个模型做的更精致点。
